"","Candidate.Name","Party.Name","EVM.Votes","Postal.Votes","Total.Votes","Percent.of.Votes","Constituency.ID","Constituency.Name","State.ID","State.Name"
"3","AYAN MANDAL","All India Trinamool Congress","1717","4","1721","0.83",1,"Andaman & Nicobar Islands","U01","Andaman & Nicobar Islands"
"4","KULDEEP RAI SHARMA","Indian National Congress","95249","59","95308","45.98",1,"Andaman & Nicobar Islands","U01","Andaman & Nicobar Islands"
"5","PRAKASH MINJ","Bahujan Samaj Party","2478","8","2486","1.2",1,"Andaman & Nicobar Islands","U01","Andaman & Nicobar Islands"
"6","VISHAL JOLLY","Bharatiya Janata Party","93772","129","93901","45.3",1,"Andaman & Nicobar Islands","U01","Andaman & Nicobar Islands"
"7","SANJAY MESHACK","Aam Aadmi Party","2837","2","2839","1.37",1,"Andaman & Nicobar Islands","U01","Andaman & Nicobar Islands"
"8","C G SAJI KUMAR","All India Hindustan Congress Party","212","0","212","0.1",1,"Andaman & Nicobar Islands","U01","Andaman & Nicobar Islands"
"9","K KALIMUTHU","Independent","269","6","275","0.13",1,"Andaman & Nicobar Islands","U01","Andaman & Nicobar Islands"
"10","V V KHALID","Independent","305","1","306","0.15",1,"Andaman & Nicobar Islands","U01","Andaman & Nicobar Islands"
"11","GOUR CHANDRA MAJUMDER","Independent","221","0","221","0.11",1,"Andaman & Nicobar Islands","U01","Andaman & Nicobar Islands"
"12","PARITOSH KUMAR HALDAR","Independent","5339","2","5341","2.58",1,"Andaman & Nicobar Islands","U01","Andaman & Nicobar Islands"
"13","MINATI BISWAS","Independent","615","3","618","0.3",1,"Andaman & Nicobar Islands","U01","Andaman & Nicobar Islands"
"14","C U RASHEED","Independent","272","1","273","0.13",1,"Andaman & Nicobar Islands","U01","Andaman & Nicobar Islands"
"15","K VENKAT RAM BABU","Independent","914","0","914","0.44",1,"Andaman & Nicobar Islands","U01","Andaman & Nicobar Islands"
"16","S SUDERSHAN RAO","Independent","475","0","475","0.23",1,"Andaman & Nicobar Islands","U01","Andaman & Nicobar Islands"
"17","HENRY","Independent","994","0","994","0.48",1,"Andaman & Nicobar Islands","U01","Andaman & Nicobar Islands"
"18","NOTA","None of the Above","1411","1","1412","0.68",1,"Andaman & Nicobar Islands","U01","Andaman & Nicobar Islands"
"31","AYYAJI VEMA MANEPALLI","Bharatiya Janata Party","11358","158","11516","0.94",7,"Amalapuram","S01","Andhra Pradesh"
"41","GANTI HARISH MADHUR (BALAYOGI)","Telugu Desam","442774","2573","445347","36.18",7,"Amalapuram","S01","Andhra Pradesh"
"51","CHINTA ANURADHA","Yuvajana Sramika Rythu Congress Party","481358","3955","485313","39.43",7,"Amalapuram","S01","Andhra Pradesh"
"61","JANGA GOUTHAM","Indian National Congress","7840","38","7878","0.64",7,"Amalapuram","S01","Andhra Pradesh"
"71","CHELLE RAJANI","Jana Jagruti Party","1228","0","1228","0.1",7,"Amalapuram","S01","Andhra Pradesh"
"81","PANTHAGADA VIJAYA CHAKRAVARTHY","Republican Party of India (Khobragade)","1801","0","1801","0.15",7,"Amalapuram","S01","Andhra Pradesh"
"91","MURALIKRISHNA KANDERI","India Praja Bandhu Party","1801","1","1802","0.15",7,"Amalapuram","S01","Andhra Pradesh"
"101","MORTHA SIVA RAMA KRISHNA","Pyramid Party of India","1946","4","1950","0.16",7,"Amalapuram","S01","Andhra Pradesh"
"111","D M R SEKHAR","Janasena Party","253271","1577","254848","20.7",7,"Amalapuram","S01","Andhra Pradesh"
"121","REVU SUDHAKAR","Independent","2770","1","2771","0.23",7,"Amalapuram","S01","Andhra Pradesh"
"131","NOTA","None of the Above","16408","41","16449","1.34",7,"Amalapuram","S01","Andhra Pradesh"
