"";"Constituency.ID";"Constituency.Name";"State.ID";"State.Name"
"1";" 1";"Andaman & Nicobar Islands";"U01";"Andaman & Nicobar Islands"
"2";" 7";"Amalapuram";"S01";"Andhra Pradesh"
"3";"1";"Aruku";"S01";"Andhra Pradesh"
"4";"10";"Eluru";"S01";"Andhra Pradesh"
"5";"11";"Machilipatnam";"S01";"Andhra Pradesh"
"6";"12";"Vijayawada";"S01";"Andhra Pradesh"
"7";"13";"Guntur";"S01";"Andhra Pradesh"
"8";"14";"Narasaraopet";"S01";"Andhra Pradesh"
"9";"15";"Bapatla";"S01";"Andhra Pradesh"
"10";"16";"Ongole";"S01";"Andhra Pradesh"
"11";"17";"Nandyal";"S01";"Andhra Pradesh"
"12";"18";"Kurnool";"S01";"Andhra Pradesh"
"13";"19";"Anantapur";"S01";"Andhra Pradesh"
"14";"2";"Srikakulam";"S01";"Andhra Pradesh"
"15";"20";"Hindupur";"S01";"Andhra Pradesh"
"16";"21";"Kadapa";"S01";"Andhra Pradesh"
"17";"22";"Nellore";"S01";"Andhra Pradesh"
"18";"23";"Tirupati";"S01";"Andhra Pradesh"
"19";"24";"Rajampet";"S01";"Andhra Pradesh"
"20";"25";"Chittoor";"S01";"Andhra Pradesh"
"21";"3";"Vizianagaram";"S01";"Andhra Pradesh"
"22";"4";"Visakhapatnam";"S01";"Andhra Pradesh"
"23";"5";"Anakapalli";"S01";"Andhra Pradesh"
"24";"6";"Kakinada";"S01";"Andhra Pradesh"
"25";"8";"Rajahmundry";"S01";"Andhra Pradesh"
"26";"9";"Narsapuram";"S01";"Andhra Pradesh"
"27";" 2";"ARUNACHAL EAST";"S02";"Arunachal Pradesh"
"28";"1";"ARUNACHAL WEST";"S02";"Arunachal Pradesh"
"29";" 3";"Autonomous District";"S03";"Assam"
"30";"1";"Karimganj";"S03";"Assam"
"31";"10";"Nowgong";"S03";"Assam"
"32";"11";"Kaliabor";"S03";"Assam"
"33";"12";"Jorhat";"S03";"Assam"
"34";"13";"Dibrugarh";"S03";"Assam"
"35";"14";"Lakhimpur";"S03";"Assam"
"36";"2";"Silchar";"S03";"Assam"
"37";"4";"Dhubri";"S03";"Assam"
"38";"5";"Kokrajhar";"S03";"Assam"
"39";"6";"Barpeta";"S03";"Assam"
"40";"7";"Gauhati";"S03";"Assam"
"41";"8";"Mangaldoi";"S03";"Assam"
"42";"9";"Tezpur";"S03";"Assam"
"43";" 9";"Araria";"S04";"Bihar"
"44";"1";"Valmiki Nagar";"S04";"Bihar"
"45";"10";"Kishanganj";"S04";"Bihar"
"46";"11";"Katihar";"S04";"Bihar"
"47";"12";"Purnia";"S04";"Bihar"
"48";"13";"Madhepura";"S04";"Bihar"
"49";"14";"Darbhanga";"S04";"Bihar"
"50";"15";"Muzaffarpur";"S04";"Bihar"
"51";"16";"Vaishali";"S04";"Bihar"
"52";"17";"Gopalganj (SC)";"S04";"Bihar"
"53";"18";"Siwan";"S04";"Bihar"
"54";"19";"Maharajganj";"S04";"Bihar"
"55";"2";"Paschim Champaran";"S04";"Bihar"
"56";"20";"Saran";"S04";"Bihar"
"57";"21";"Hajipur (SC)";"S04";"Bihar"
"58";"22";"Ujiarpur";"S04";"Bihar"
"59";"23";"Samastipur (SC)";"S04";"Bihar"
"60";"24";"Begusarai";"S04";"Bihar"
"61";"25";"Khagaria";"S04";"Bihar"
"62";"26";"Bhagalpur";"S04";"Bihar"
"63";"27";"Banka";"S04";"Bihar"
"64";"28";"Munger";"S04";"Bihar"
"65";"29";"Nalanda";"S04";"Bihar"
"66";"3";"Purvi Champaran";"S04";"Bihar"
"67";"30";"Patna Sahib";"S04";"Bihar"
"68";"31";"Pataliputra";"S04";"Bihar"
"69";"32";"Arrah";"S04";"Bihar"
"70";"33";"Buxar";"S04";"Bihar"
"71";"34";"Sasaram (SC)";"S04";"Bihar"
"72";"35";"Karakat";"S04";"Bihar"
"73";"36";"Jahanabad";"S04";"Bihar"
"74";"37";"Aurangabad";"S04";"Bihar"
"75";"38";"Gaya (SC)";"S04";"Bihar"
"76";"39";"Nawada";"S04";"Bihar"
"77";"4";"Sheohar";"S04";"Bihar"
"78";"40";"Jamui (SC)";"S04";"Bihar"
"79";"5";"Sitamarhi";"S04";"Bihar"
"80";"6";"Madhubani";"S04";"Bihar"
"81";"7";"Jhanjharpur";"S04";"Bihar"
"82";"8";"Supaul";"S04";"Bihar"
"83";" 1";"CHANDIGARH";"U02";"Chandigarh"
"84";" 10";"BASTAR";"S26";"Chhattisgarh"
"85";"1";"SARGUJA";"S26";"Chhattisgarh"
"86";"11";"KANKER";"S26";"Chhattisgarh"
"87";"2";"RAIGARH";"S26";"Chhattisgarh"
"88";"3";"JANJGIR-CHAMPA";"S26";"Chhattisgarh"
"89";"4";"KORBA";"S26";"Chhattisgarh"
"90";"5";"BILASPUR";"S26";"Chhattisgarh"
"91";"6";"RAJNANDGAON";"S26";"Chhattisgarh"
"92";"7";"DURG";"S26";"Chhattisgarh"
"93";"8";"RAIPUR";"S26";"Chhattisgarh"
"94";"9";"MAHASAMUND";"S26";"Chhattisgarh"
"95";" 1";"Dadra And Nagar Haveli";"U03";"Dadra & Nagar Haveli"
"96";" 1";"Daman & diu";"U04";"Daman & Diu"
"97";" 1";"North Goa";"S05";"Goa"
"98";"2";"South Goa";"S05";"Goa"
"99";" 7";"Ahmedabad East";"S06";"Gujarat"
"100";"1";"Kachchh";"S06";"Gujarat"
"101";"10";"Rajkot";"S06";"Gujarat"
"102";"11";"Porbandar";"S06";"Gujarat"
"103";"12";"Jamnagar";"S06";"Gujarat"
"104";"13";"Junagadh";"S06";"Gujarat"
"105";"14";"Amreli";"S06";"Gujarat"
"106";"15";"Bhavnagar";"S06";"Gujarat"
"107";"16";"Anand";"S06";"Gujarat"
"108";"17";"Kheda";"S06";"Gujarat"
"109";"18";"Panchmahal";"S06";"Gujarat"
"110";"19";"Dahod";"S06";"Gujarat"
"111";"2";"Banaskantha";"S06";"Gujarat"
"112";"20";"Vadodara";"S06";"Gujarat"
"113";"21";"Chhota Udaipur";"S06";"Gujarat"
"114";"22";"Bharuch";"S06";"Gujarat"
"115";"23";"Bardoli";"S06";"Gujarat"
"116";"24";"Surat";"S06";"Gujarat"
"117";"25";"Navsari";"S06";"Gujarat"
"118";"26";"Valsad";"S06";"Gujarat"
"119";"3";"Patan";"S06";"Gujarat"
"120";"4";"Mahesana";"S06";"Gujarat"
"121";"5";"Sabarkantha";"S06";"Gujarat"
"122";"6";"Gandhinagar";"S06";"Gujarat"
"123";"8";"Ahmedabad West";"S06";"Gujarat"
"124";"9";"Surendranagar";"S06";"Gujarat"
"125";" 1";"Ambala";"S07";"Haryana"
"126";"10";"Faridabad";"S07";"Haryana"
"127";"2";"Kurukshetra";"S07";"Haryana"
"128";"3";"Sirsa";"S07";"Haryana"
"129";"4";"Hisar";"S07";"Haryana"
"130";"5";"Karnal";"S07";"Haryana"
"131";"6";"Sonipat";"S07";"Haryana"
"132";"7";"Rohtak";"S07";"Haryana"
"133";"8";"Bhiwani-Mahendragarh";"S07";"Haryana"
"134";"9";"Gurgaon";"S07";"Haryana"
"135";" 3";"Hamirpur";"S08";"Himachal Pradesh"
"136";"1";"Kangra";"S08";"Himachal Pradesh"
"137";"2";"Mandi";"S08";"Himachal Pradesh"
"138";"4";"Shimla";"S08";"Himachal Pradesh"
"139";" 3";"Anantnag";"S09";"Jammu & Kashmir"
"140";"1";"Baramulla";"S09";"Jammu & Kashmir"
"141";"2";"Srinagar";"S09";"Jammu & Kashmir"
"142";"4";"Ladakh";"S09";"Jammu & Kashmir"
"143";"5";"Udhampur";"S09";"Jammu & Kashmir"
"144";"6";"Jammu";"S09";"Jammu & Kashmir"
"145";" 4";"Chatra";"S27";"Jharkhand"
"146";"1";"Rajmahal";"S27";"Jharkhand"
"147";"10";"Singhbhum";"S27";"Jharkhand"
"148";"11";"Khunti";"S27";"Jharkhand"
"149";"12";"Lohardaga";"S27";"Jharkhand"
"150";"13";"Palamau";"S27";"Jharkhand"
"151";"14";"Hazaribagh";"S27";"Jharkhand"
"152";"2";"Dumka";"S27";"Jharkhand"
"153";"3";"Godda";"S27";"Jharkhand"
"154";"5";"Kodarma";"S27";"Jharkhand"
"155";"6";"Giridih";"S27";"Jharkhand"
"156";"7";"Dhanbad";"S27";"Jharkhand"
"157";"8";"Ranchi";"S27";"Jharkhand"
"158";"9";"Jamshedpur";"S27";"Jharkhand"
"159";" 3";"Bagalkot";"S10";"Karnataka"
"160";"1";"Chikkodi";"S10";"Karnataka"
"161";"10";"Haveri";"S10";"Karnataka"
"162";"11";"Dharwad";"S10";"Karnataka"
"163";"12";"Uttara Kannada";"S10";"Karnataka"
